[     142ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[     167ms] [LOG] [Fast Refresh] done in 127ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[     274ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[     292ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[   31637ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=w4oyXQaIVN81WgUJVXokF' failed:  @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   32643ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=w4oyXQaIVN81WgUJVXokF' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   33646ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=w4oyXQaIVN81WgUJVXokF' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   34648ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=w4oyXQaIVN81WgUJVXokF' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   35653ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=w4oyXQaIVN81WgUJVXokF' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   36658ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=w4oyXQaIVN81WgUJVXokF' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   41667ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=w4oyXQaIVN81WgUJVXokF' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   46677ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=w4oyXQaIVN81WgUJVXokF' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   51694ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=w4oyXQaIVN81WgUJVXokF' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   56727ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=w4oyXQaIVN81WgUJVXokF' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   61770ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=w4oyXQaIVN81WgUJVXokF' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   66919ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=w4oyXQaIVN81WgUJVXokF' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   72056ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=w4oyXQaIVN81WgUJVXokF' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
